Hugo_Symbol	Chromosome
ATR	chr3
BICC1	chr10
BPTF	chr17
CDH10	chr5
CEP170	chr1
COL6A6	chr3
DCDC1	chr11
DSCAM	chr21
DSP	chr6
DSPP	chr4
FBN2	chr5
GRIN2B	chr12
MYH15	chr3
MYH8	chr17
OTOGL	chr12
PDE4DIP	chr1
PLCH1	chr3
PTPRS	chr19
RIMS2	chr8
SACS	chr13
TCHH	chr1
TLN1	chr9
VPS13A	chr9
ZNF676	chr19
ZNF813	chr19
ADAMTS12	chr5
ADAMTS16	chr5
ADCY2	chr5
AKAP13	chr15
ALMS1	chr2
ARID1A	chr1
ASTN1	chr1
C1orf173	chr1
CASZ1	chr1
CEP350	chr1
CTNNA3	chr10
CTNND2	chr5
DMXL1	chr5
DNAH14	chr1
DNAH17	chr17
GRIK2	chr6
HCN1	chr5
HECTD1	chr14
HUWE1	chrX
ITPR2	chr12
KCNU1	chr8
KMT2A	chr11
LAMB1	chr7
LAMB4	chr7
LPA	chr6
METTL2B	chr7
MYH14	chr19
MYO9A	chr15
NBEA	chr13
NDST4	chr4
PRAMEF2	chr1
SMC1B	chr22
SRCAP	chr16
TAS2R30	chr12
TG	chr8
TRAPPC9	chr8
TRIM64B	chr11
YEATS2	chr3
ZNF429	chr19
ZNF536	chr19
ZNF729	chr19
ABCC9	chr12
ADAM29	chr4
ADAMTS18	chr16
ADAMTS20	chr12
ADGB	chr6
AJUBA	chr14
AP3S1	chr5
BRCA2	chr13
CACNA1A	chr19
CNTNAP2	chr7
CNTNAP4	chr16
DLG2	chr11
DNAH1	chr3
DYNC1H1	chr14
EPHA5	chr4
FAM47A	chrX
FMN2	chr1
GOLGA6L2	chr15
GRID1	chr10
HCAR2	chr12
KIAA0947	chr5
KIF26B	chr1
KLHL1	chr13
LRRC7	chr1
MBD5	chr2
MKI67	chr10
MUC3A	chr7
MYCBP2	chr13
MYH1	chr17
MYT1L	chr2
NRXN3	chr14
PCDH10	chr4
PCDH11X	chrX
PREX2	chr8
PTCH1	chr9
RBBP6	chr16
RBM27	chr5
REG3A	chr2
SLC4A10	chr2
SPEF2	chr5
SPEG	chr2
SRGAP2	chr1
TRMT10C	chr3
VPS13C	chr15
ZNF521	chr18
ZNF568	chr19
ZNF804A	chr2
ABCA1	chr9
ACSS3	chr12
ANKRD17	chr4
ATAD2B	chr2
ATG2B	chr14
BAI3	chr6
BAP1	chr3
BCHE	chr3
BOD1L1	chr4
CAND1	chr12
CBX3	chr7
CCDC88A	chr2
CDC42BPA	chr1
CDH12	chr5
CENPE	chr4
CENPF	chr1
CNTN5	chr11
COL14A1	chr8
COL1A2	chr7
COL3A1	chr2
CRYBG3	chr3
DCAF4L2	chr8
DCHS1	chr11
DENND4C	chr9
DISP1	chr1
DLC1	chr8
DPP10	chr2
FLG2	chr1
FOXG1	chr14
FRY	chr13
FRYL	chr4
GPR112	chrX
GRIN2A	chr16
GRIN3A	chr9
HEATR1	chr1
HSPG2	chr1
JMJD1C	chr10
KALRN	chr3
KEAP1	chr19
KIAA2022	chrX
LPHN3	chr4
LPP	chr3
LRBA	chr4
LRRK2	chr12
MAP2	chr2
MECOM	chr3
MED12L	chr3
MORC1	chr3
MYH11	chr16
MYH7	chr14
MYOF	chr10
NCKAP5	chr2
NPAP1	chr15
NPHS1	chr19
NRAP	chr10
OR2T3	chr1
PABPC3	chr13
PAPPA2	chr1
PARD3	chr10
PCDH15	chr10
PDZRN4	chr12
PHC3	chr3
PLCB1	chr20
PLXNA1	chr3
POTEC	chr18
POTEF	chr2
PRDM9	chr5
PRSS3	chr9
PTPN13	chr4
PXDNL	chr8
RALGAPA2	chr20
REV3L	chr6
RP1	chr8
RPS15	chr19
RPS6KA6	chrX
SCN3A	chr2
SCN7A	chr2
SDK1	chr7
SEMA3E	chr7
SERPINI2	chr3
SLITRK5	chr13
SMC4	chr3
SMG1	chr16
SORCS1	chr10
SPAG17	chr1
SPTB	chr14
TENM2	chr5
TENM4	chr11
TMEM128	chr4
TNIK	chr3
UBR5	chr8
URI1	chr19
WDR87	chr19
WNK1	chr12
ZDHHC11	chr5
ZFP28	chr19
ZNF318	chr6
ZNF585A	chr19
ZNF99	chr19
A2M	chr12
ABCB11	chr2
ADAMTS19	chr5
ADCY8	chr8
AGRN	chr1
ALPK3	chr15
ALS2CR11	chr2
ANKRD50	chr4
ARFGEF1	chr8
ARHGAP23	chr17
ASXL1	chr20
ATM	chr11
ATP10B	chr5
ATP13A3	chr3
BZRAP1	chr17
C6	chr5
CACNA1H	chr16
CCDC141	chr2
CDH7	chr18
CDK12	chr17
CHD1	chr5
CHD8	chr14
CMYA5	chr5
CNTRL	chr9
COL9A1	chr6
CYP2D6	chr22
DNAH2	chr17
DOCK2	chr5
DOCK9	chr13
DZIP3	chr3
FANCM	chr14
FBN1	chr15
FBN3	chr19
FER1L6	chr8
FN1	chr2
FOLH1	chr11
FRAS1	chr4
GCC2	chr2
GNAS	chr20
GOLGA6L1	chr15
HCAR3	chr12
HCN4	chr15
HEATR5B	chr2
HIVEP1	chr6
IRF2BPL	chr14
KHDRBS2	chr6
KIF13B	chr8
KRT14	chr17
LAMA4	chr6
LAMA5	chr20
LILRB3	chr19
LRRC4C	chr11
MMS22L	chr6
MYO15A	chr17
NBAS	chr2
NCOR2	chr12
NID1	chr1
NIPBL	chr5
NLRP9	chr19
NRK	chrX
NUMA1	chr11
NUP210L	chr1
OTOG	chr11
PCDH8	chr13
PCDHA12	chr5
PCDHA6	chr5
PCDHB8	chr5
PCNT	chr21
PDPR	chr16
PHIP	chr6
PKD1	chr16
POM121L2	chr6
POTEH	chr22
PRAMEF1	chr1
PRAMEF4	chr1
PRDM2	chr1
PRR14L	chr22
PRUNE2	chr9
PTPRM	chr18
RICTOR	chr5
RTL1	chr14
RTTN	chr18
RUNX1T1	chr8
SCN4A	chr17
SCN9A	chr2
SETD1B	chr12
SETX	chr9
SHANK1	chr19
SLC24A4	chr14
SLC9B1P1	chrY
SLIT2	chr4
SPATA31D1	chr9
SPHKAP	chr2
THSD7B	chr2
TPR	chr1
UBR4	chr1
UNC93A	chr6
VPS8	chr3
WDFY4	chr10
XIRP2	chr2
ZBBX	chr3
ZNF407	chr18
ZNF43	chr19
ZNF638	chr2
ZNF814	chr19
ZNF845	chr19
ZZEF1	chr17
ACSM2A	chr16
ADAM22	chr7
ADCY10	chr1
AIM1	chr6
AK9	chr6
ANK3	chr10
ANKRD20A4	chr9
ASCC3	chr6
ASPH	chr8
ATP10A	chr15
BRINP2	chr1
BRWD3	chrX
C2orf16	chr2
CACNA1B	chr9
CACNA1G	chr17
CATSPERB	chr14
CCDC158	chr4
CCNB3	chrX
CDC42BPB	chr14
CDH4	chr20
CDH8	chr16
CFH	chr1
CFTR	chr7
CHD4	chr12
COL28A1	chr7
CTNNA2	chr2
CUL3	chr2
DACH2	chrX
DDX60	chr4
DIP2A	chr21
DOPEY1	chr6
DPPA4	chr3
DPY19L2	chr12
DSG1	chr18
EHBP1	chr2
FAM111B	chr11
FAM135A	chr6
FNDC1	chr6
FREM1	chr9
FREM2	chr13
GLI2	chr2
GOLGA8S	chr15
GON4L	chr1
GRM1	chr6
HACE1	chr6
HEPHL1	chr11
HIPK3	chr11
IFT122	chr3
IGSF10	chr3
IL16	chr15
IL1RAP	chr3
IMPG2	chr3
JAK2	chr9
KCNH7	chr2
KIAA0430	chr16
KIDINS220	chr2
KIF13A	chr6
KIF2B	chr17
KIF4A	chrX
KRTAP1-1	chr17
LOXHD1	chr18
LRP5	chr11
LTBP2	chr14
MAML3	chr4
MAP3K1	chr5
MAPK8IP3	chr16
MAST4	chr5
MEF2A	chr15
MEGF8	chr19
MLIP	chr6
MME	chr3
MROH9	chr1
MTR	chr1
MVP	chr16
MYH13	chr17
MYH6	chr14
MYLK	chr3
NF1	chr17
NHS	chrX
NLGN1	chr3
NLRP12	chr19
NLRP4	chr19
NNT	chr5
NRXN1	chr2
NUP155	chr5
OR2L8	chr1
OR2T34	chr1
OVCH1	chr12
PCDH20	chr13
PCDH9	chr13
PCDHA1	chr5
PCDHB4	chr5
PCDHGB3	chr5
PCNXL4	chr14
PGA3	chr11
PIK3AP1	chr10
PIKFYVE	chr2
PKD1L1	chr7
POLQ	chr3
POSTN	chr13
PPFIA2	chr12
PPFIA3	chr19
PROS1	chr3
PTPRB	chr12
PTPRT	chr20
RB1CC1	chr8
RBPJ	chr4
RRN3	chr16
SAMD9	chr7
SCN10A	chr3
SCN2A	chr2
SHANK2	chr11
SLC25A5	chrX
SLC5A7	chr2
SLCO1C1	chr12
SLIT1	chr10
SMYD4	chr17
SNAP91	chr6
SPTBN4	chr19
SYCP2	chr20
SYNPO2	chr4
SZT2	chr1
TANC1	chr2
TBC1D3G	chr17
TEX15	chr8
TGM6	chr20
THBS1	chr15
TNR	chr1
TPO	chr2
TPP2	chr13
TRANK1	chr3
USP42	chr7
USP7	chr16
UTRN	chr6
VPS13D	chr1
VWA3B	chr2
WDR17	chr4
ZEB1	chr10
ZEB2	chr2
ZMYND8	chr20
ZNF141	chr4
ZNF93	chr19
ZNF98	chr19
ABCA6	chr17
ABCA8	chr17
ABCB1	chr7
ACAN	chr15
ACRC	chrX
ACSM2B	chr16
ADAMTS10	chr19
ADAMTS3	chr4
AFF2	chrX
AFF3	chr2
AGBL3	chr7
ALPK2	chr18
ANAPC1	chr2
ANKRD26	chr10
ANO5	chr11
ARAP2	chr4
ARHGAP35	chr19
ARHGAP5	chr14
ARHGEF5	chr7
ARPP21	chr3
ASTE1	chr3
ASXL3	chr18
ATP13A5	chr3
ATP2A3	chr17
AUTS2	chr7
BAI2	chr1
BCAN	chr1
C10orf71	chr10
C17orf104	chr17
C3	chr19
C8orf34	chr8
CACNA1C	chr12
CACNA1E	chr1
CAMTA1	chr1
CASR	chr3
CCNF	chr16
CDH23	chr10
CDH6	chr5
CDON	chr11
CELSR1	chr22
CHEK2	chr22
CHL1	chr3
CILP2	chr19
CIT	chr12
CLASP2	chr3
CLTCL1	chr22
CLUH	chr17
CMTR1	chr6
CNOT1	chr16
COL5A3	chr19
CSPG4	chr15
CYFIP2	chr5
DACT1	chr14
DDX11	chr12
DGKB	chr7
DHX38	chr16
DMBT1	chr10
DMXL2	chr15
DNAH12	chr3
DNAJC13	chr3
DOCK8	chr9
DPYD	chr1
DSEL	chr18
DTWD1	chr15
DUSP27	chr1
EFCAB5	chr17
EGFLAM	chr5
EGFR	chr7
EML2	chr19
EP400	chr12
EPS8	chr12
ERCC6L2	chr9
ESX1	chrX
F8	chrX
FAM182B	chr20
FCRL2	chr1
FCRL5	chr1
FLNA	chrX
FMN1	chr15
FNDC3B	chr3
FOCAD	chr9
FOXD4	chr9
GABRA2	chr4
GIGYF2	chr2
GOLGA4	chr3
GOLGA8J	chr15
GPR115	chr6
GRIA3	chrX
GRM3	chr7
GRM5	chr11
GUCY1B3	chr4
GXYLT1	chr12
HELZ2	chr20
HNRNPCL1	chr1
IMPG1	chr6
ITGA2	chr5
ITSN1	chr21
JAKMIP2	chr5
KDM5A	chr12
KDM5B	chr1
KHSRP	chr19
KIAA1009	chr6
KIAA1549L	chr11
KIF21A	chr12
KNDC1	chr10
KRT17	chr17
KRTAP10-6	chr21
LPHN2	chr1
LRP6	chr12
LYST	chr1
MAGEC1	chrX
MAGEC3	chrX
MAP1A	chr15
MAP3K19	chr2
MAP3K4	chr6
MAP3K5	chr6
MED13	chr17
MGA	chr15
MLLT6	chr17
MTIF2	chr2
MYO10	chr5
MYO18A	chr17
MYOM1	chr18
MYPN	chr10
MYT1	chr20
NACAD	chr7
NBEAL1	chr2
NBPF10	chr1
NCOA6	chr20
NEK1	chr4
NFXL1	chr4
NID2	chr14
NLRC5	chr16
NLRP8	chr19
NOD2	chr16
NPIPB6	chr16
NRIP1	chr21
NRXN2	chr11
NSD1	chr5
NWD1	chr19
NXPH1	chr7
OR2T2	chr1
OR2T33	chr1
OR8U1	chr11
PABPC5	chrX
PAM	chr5
PARP10	chr8
PARP4	chr13
PCDHA2	chr5
PCDHB11	chr5
PCDHB2	chr5
PGK2	chr6
PHKA2	chrX
PHLPP1	chr18
PLXNA4	chr7
PPIG	chr2
PPP1R9A	chr7
PRAMEF11	chr1
PRAMEF12	chr1
PRKD1	chr14
PRPF40A	chr2
PRPF8	chr17
PTPRQ	chr12
RBM14-RBM4	chr11
RFX6	chr6
RHAG	chr6
RHPN2	chr19
RNF123	chr3
RNF40	chr16
RPGRIP1L	chr16
RPTN	chr1
RPTOR	chr17
SBF2	chr11
SCLT1	chr4
SEMG2	chr20
SETBP1	chr18
SFI1	chr22
SGK223	chr8
SLC39A12	chr10
SLCO6A1	chr5
SMCHD1	chr18
SPATA16	chr3
SPRED1	chr15
SRCIN1	chr17
SRRM4	chr12
ST8SIA3	chr18
STAB2	chr12
STAG1	chr3
STUB1	chr16
SULF1	chr8
TAS2R43	chr12
TCF20	chr22
TET1	chr10
TET2	chr4
TICRR	chr15
TLN2	chr15
TMEM132D	chr12
TMPRSS15	chr21
TNFRSF10A	chr8
TNKS1BP1	chr11
TP63	chr3
TRPA1	chr8
TRPM6	chr9
TRRAP	chr7
TTC28	chr22
TTC6	chr14
TTLL5	chr14
TUBA3D	chr2
TUBGCP5	chr15
TUBGCP6	chr22
TYR	chr11
UBR1	chr15
UBTF	chr17
UGT2B28	chr4
UHRF1BP1L	chr12
UNC13A	chr19
UPF2	chr10
USP1	chr1
USP15	chr12
USP21	chr1
USP6	chr17
UTP20	chr12
VCPIP1	chr8
VEPH1	chr3
VWDE	chr7
WDFY3	chr4
WDR52	chr3
XKR7	chr20
ZDBF2	chr2
ZFYVE26	chr14
ZFYVE9	chr1
ZHX2	chr8
ZNF106	chr15
ZNF335	chr20
ZNF391	chr6
ZNF469	chr16
ZNF681	chr19
ZNF714	chr19
ZNF831	chr20
ZNF91	chr19
ZNFX1	chr20
A1CF	chr10
AASS	chr7
ABCA7	chr19
ABCC11	chr16
ABCC3	chr17
ABCC5	chr3
ABCG8	chr2
ACACB	chr12
ACE2	chrX
ADAMTSL1	chr9
AFF4	chr5
AKAP6	chr14
ALDH5A1	chr6
ANKHD1	chr5
ANKRD12	chr18
ANKRD31	chr5
ANLN	chr7
ANO4	chr12
ANXA2	chr15
ARAP1	chr11
ARHGAP12	chr10
ARHGAP44	chr17
ARHGEF1	chr19
ARID5B	chr10
ARRB1	chr11
ATP11B	chr3
ATP2A2	chr12
ATP7A	chrX
B4GALNT4	chr11
BCL11A	chr2
BDP1	chr5
BMPER	chr7
BOLL	chr2
BRINP1	chr9
BRINP3	chr1
C12orf55	chr12
C14orf23	chr14
C4orf21	chr4
C8A	chr1
C9	chr5
CACNA1D	chr3
CACNA1S	chr1
CACNA2D1	chr7
CAD	chr2
CAMSAP2	chr1
CAPN6	chrX
CARD11	chr7
CASS4	chr20
CATSPERD	chr19
CCDC129	chr7
CCDC14	chr3
CCDC170	chr6
CCDC175	chr14
CCDC178	chr18
CCDC50	chr3
CCDC88B	chr11
CCSER1	chr4
CD248	chr11
CDH2	chr18
CEACAM5	chr19
CEP135	chr4
CFHR4	chr1
CHD5	chr1
CHD7	chr8
CIITA	chr16
COL20A1	chr20
COL21A1	chr6
COL24A1	chr1
COL25A1	chr4
COL4A1	chr13
COL4A3	chr2
COPB1	chr11
CPAMD8	chr19
CPS1	chr2
CROCC	chr1
CSRP2BP	chr20
CUX2	chr12
CXorf22	chrX
CXorf30	chrX
CYP1A2	chr15
CYP2B6	chr19
DAAM2	chr6
DAPK1	chr9
DCAF12L2	chrX
DDX27	chr20
DENND5B	chr12
DGCR8	chr22
DIDO1	chr20
DLG5	chr10
DLGAP1	chr18
DOCK1	chr10
DOCK4	chr7
DOCK7	chr1
DPP8	chr15
DTNA	chr18
DYSF	chr2
EBF3	chr10
EFCAB6	chr22
EFTUD1	chr15
ELMOD1	chr11
EMR1	chr19
ENAH	chr1
ENAM	chr4
EPB41L2	chr6
EPHA3	chr3
EPHA6	chr3
ERN1	chr17
ERN2	chr16
ETV1	chr7
FAM186A	chr12
FAM208B	chr10
FAM21A	chr10
FAM65B	chr6
FANCA	chr16
FANCD2	chr3
FBXL7	chr5
FHAD1	chr1
FRG2B	chr10
FSHR	chr2
FXR1	chr3
GABBR2	chr9
GAL3ST1	chr22
GCN1L1	chr12
GMPS	chr3
GPC4	chrX
GPR111	chr6
GPR139	chr16
GREB1L	chr18
GTF3C1	chr16
GUCY1A3	chr4
GUCY2C	chr12
GYPB	chr4
HDAC9	chr7
HEATR5A	chr14
HFM1	chr1
HIRA	chr22
HIST1H3I	chr6
HKDC1	chr10
HLA-DRB1	chr6
HMMR	chr5
HOXD4	chr2
HRC	chr19
IDE	chr10
IKZF1	chr7
INSRR	chr1
IPO13	chr1
IPO9	chr1
IQUB	chr7
IRS2	chr13
ITGA8	chr10
ITGAL	chr16
ITIH5	chr10
KAT2B	chr3
KCNH4	chr17
KCNH8	chr3
KCNK9	chr8
KCNT2	chr1
KIAA0368	chr9
KIAA0895L	chr16
KIAA1107	chr1
KIAA1210	chrX
KIAA1429	chr8
KIAA1432	chr9
KIAA1549	chr7
KIAA1731	chr11
KIF16B	chr20
KLHL38	chr8
KMT2E	chr7
KRT15	chr17
KRT76	chr12
KRTAP4-9	chr17
KSR2	chr12
KTN1	chr14
KY	chr3
LILRA2	chr19
LONRF2	chr2
LRFN5	chr14
LRRTM3	chr10
LRRTM4	chr2
MAN1A2	chr1
MAP1B	chr5
MARCH10	chr17
MB21D2	chr3
MBOAT1	chr6
METTL8	chr2
MNDA	chr1
MORC3	chr21
MPDZ	chr9
MPP6	chr7
MROH7	chr1
MSH6	chr2
MUM1L1	chrX
MYH3	chr17
MYO18B	chr22
MYO3A	chr10
MYO5A	chr15
MYOCD	chr17
NAV1	chr1
NCAM2	chr21
NCOA1	chr2
NCOA7	chr6
NDNF	chr4
NELL1	chr11
NIN	chr14
NINL	chr20
NKTR	chr3
NLGN4X	chrX
NME8	chr7
NOL4	chr18
NPAT	chr11
NPEPPS	chr17
NUMBL	chr19
NUP188	chr9
NUP205	chr7
OLFM3	chr1
OR2T4	chr1
OR51B5	chr11
OR5D13	chr11
OSBPL8	chr12
OTOF	chr2
PALB2	chr16
PARD3B	chr2
PAX9	chr14
PCDH11Y	chrY
PCDH17	chr13
PCDHA13	chr5
PCDHA8	chr5
PCDHB14	chr5
PCDHB5	chr5
PCDHB7	chr5
PCDHGB4	chr5
PCNXL2	chr1
PCSK7	chr11
PDE4D	chr5
PDS5A	chr4
PDZD8	chr10
PDZRN3	chr3
PHF2	chr9
PI4KA	chr22
PIEZO1	chr16
PIK3C2G	chr12
PKD2L2	chr5
PLCB4	chr20
PLXNA2	chr1
PNPLA8	chr7
POLR3A	chr10
PPFIA1	chr11
PPP1R12A	chr12
PPP1R3A	chr7
PRB4	chr12
PROKR1	chr2
PRRC2C	chr1
PTEN	chr10
PTGS1	chr9
PTK2	chr8
PTPRG	chr3
PTPRH	chr19
PTPRZ1	chr7
PXDN	chr2
QRICH2	chr17
RABGAP1L	chr1
RAI1	chr17
RALGAPB	chr20
RASGRF1	chr15
RBL1	chr20
RBM12	chr20
REST	chr4
RFWD2	chr1
RGS7	chr1
RIOK1	chr6
RIPK3	chr14
RNF213	chr17
RP11-1220K2.2	chr7
RP13-996F3.5	chr15
RREB1	chr6
RUSC1	chr1
RXFP3	chr5
SAMD3	chr6
SCAPER	chr15
SCN5A	chr3
SCRIB	chr8
SDK2	chr17
SEC31B	chr10
SELP	chr1
SEMA3D	chr7
SEMA5B	chr3
SEMA6D	chr15
SETD2	chr3
SHPRH	chr6
SHROOM4	chrX
SIN3A	chr15
SIPA1L1	chr14
SKA3	chr13
SLC12A1	chr15
SLC25A13	chr7
SLC2A13	chr12
SLC4A4	chr4
SLC9A4	chr2
SLCO1B1	chr12
SLFN11	chr17
SLITRK3	chr3
SMG8	chr17
SOGA1	chr20
SP100	chr2
SPAG9	chr17
SPG11	chr15
SPICE1	chr3
SPOP	chr17
SPTBN5	chr15
SRGAP3	chr3
SSFA2	chr2
STIL	chr1
STK31	chr7
SUCO	chr1
SUFU	chr10
SULF2	chr20
SYBU	chr8
SYCP1	chr1
SYNJ1	chr21
SYT10	chr12
TACC3	chr4
TAF1L	chr9
TANC2	chr17
TARS	chr5
TASP1	chr20
TBC1D3B	chr17
TDRD6	chr6
TECPR1	chr7
TECTA	chr11
TEKT3	chr17
TET3	chr2
TIAM1	chr21
TLR7	chrX
TMEM131	chr2
TMTC3	chr12
TNN	chr1
TPSAB1	chr16
TPSD1	chr16
TRAPPC8	chr18
TRHDE	chr12
TRIM24	chr7
TRPC3	chr4
TRPC7	chr5
TRPM1	chr15
TRPV6	chr7
TSC1	chr9
TSHZ1	chr18
TTC40	chr10
TUBB3	chr16
UBN1	chr16
UBR2	chr6
UNC79	chr14
UNKL	chr16
UPF1	chr19
USP47	chr11
USP9X	chrX
VASP	chr19
VAV3	chr1
VSIG10L	chr19
VWA8	chr13
WDPCP	chr2
WDR19	chr4
WDR27	chr6
WIPF1	chr2
WIZ	chr19
WNK2	chr9
XRN2	chr20
ZBTB20	chr3
ZFC3H1	chr12
ZFPM2	chr8
ZHX1	chr8
ZNF117	chr7
ZNF236	chr18
ZNF33B	chr10
ZNF347	chr19
ZNF365	chr10
ZNF418	chr19
ZNF44	chr19
ZNF445	chr3
ZNF530	chr19
ZNF609	chr15
ZNF623	chr8
ZNF665	chr19
ZSWIM2	chr2
ABCA10	chr17
ABCA4	chr1
ABCB4	chr7
ABCB6	chr2
ABCC4	chr13
ABHD17A	chr19
ABI3BP	chr3
AC012414.1	chr15
ACSM3	chr16
ACSM4	chr12
ACTN2	chr1
ADAMTS1	chr21
ADAMTS5	chr21
AGAP6	chr10
AGMO	chr7
AGO1	chr1
AK5	chr1
AKAP9	chr7
ALG13	chrX
ALOX5	chr10
AMER3	chr2
AMPD2	chr1
ANK1	chr8
ANKFN1	chr17
ANKH	chr5
ANKRD11	chr16
ANKRD27	chr19
ANO3	chr11
ANO8	chr19
AOX1	chr2
AP4E1	chr15
AQR	chr15
AR	chrX
ARHGAP20	chr11
ARHGAP30	chr1
ARHGAP31	chr3
ARHGEF17	chr11
ARHGEF28	chr5
ARHGEF6	chrX
ARID1B	chr6
ARID2	chr12
ARID4A	chr14
ASXL2	chr2
ATAD5	chr17
ATG2A	chr11
ATP10D	chr4
ATP11C	chrX
ATP2C2	chr16
ATP8A1	chr4
ATRX	chrX
AXDND1	chr1
AXIN2	chr17
BAZ1A	chr14
BAZ2A	chr12
BAZ2B	chr2
BBX	chr3
BCL9	chr1
BICD1	chr12
BICD2	chr9
BMP2	chr20
BNC2	chr9
BRAT1	chr7
BRD4	chr19
BRE	chr2
BSG	chr19
BTAF1	chr10
BTBD3	chr20
BTNL8	chr5
BUB1B	chr15
C10orf112	chr10
C12orf71	chr12
C1orf177	chr1
C2CD3	chr11
CACNB4	chr2
CADPS2	chr7
CAGE1	chr6
CAMKK2	chr12
CAMSAP3	chr19
CAPRIN2	chr12
CASK	chrX
CCDC102B	chr18
CCDC180	chr9
CCDC30	chr1
CCDC39	chr3
CCDC88C	chr14
CDC25B	chr20
CDC42BPG	chr11
CDH22	chr20
CDH26	chr20
CDH9	chr5
CDK13	chr7
CDK20	chr9
CELSR2	chr1
CELSR3	chr3
CEP192	chr18
CEP290	chr12
CEP68	chr2
CGNL1	chr15
CHIA	chr1
CLASP1	chr2
CLEC16A	chr16
CLEC18B	chr16
CLVS2	chr6
CNBD1	chr8
CNST	chr1
CNTN2	chr1
CNTN3	chr3
CNTN6	chr3
COL16A1	chr1
COL18A1	chr21
COL19A1	chr6
COL1A1	chr17
COL4A2	chr13
COL4A4	chr2
COL4A6	chrX
COL5A1	chr9
COL6A1	chr21
COL9A2	chr1
COLEC12	chr18
COPA	chr1
CORIN	chr4
CPA6	chr8
CPEB1	chr15
CPSF6	chr12
CPT1C	chr19
CR1	chr1
CRISPLD1	chr8
CROT	chr7
CTCFL	chr20
CTNNB1	chr3
CTTNBP2	chr7
CUL4A	chr13
DAB2IP	chr9
DACH1	chr13
DBR1	chr3
DCST2	chr1
DDHD1	chr14
DDX60L	chr4
DENND4B	chr1
DFNB59	chr2
DGKQ	chr4
DGKZ	chr11
DHX34	chr19
DIP2B	chr12
DIP2C	chr10
DLGAP4	chr20
DOCK10	chr2
DOCK11	chrX
DOCK5	chr8
DOPEY2	chr21
DPPA2	chr3
DPRX	chr19
DPY19L4	chr8
DROSHA	chr5
DRP2	chrX
DSC2	chr18
DUOX1	chr15
