SampleID	Group
WGC106552D	G4
WGC106558D	G4
WGC106564D	G2&G3
WGC106566D	G4
WGC106568D	G4
WGC106570D	G4
WGC106572D	G4
WGC106574D	G4
WGC106576DB	G4
WGC106582D	G2&G3
WGC106586D	G4
WGC106592D	G4
WGC106598D	G4
WGC106600D	G2&G3
WGC106608D	G2&G3
WGC106614D	G4
WGC106616D	G4
WGC107774D	G4
WGC107782D	G2&G3
WGC107786D	G2&G3
WGC107788D	G2&G3
WGC107790D	G2&G3
WGC107794D	G4
WGC107798D	G4
WGC107800D	G2&G3
WGC107802D	G4
WGC107806D	G4
WGC107808D	G4
WGC107812D	G2&G3
WGC107814D	G4
WGC107816D	G4
WGC107820D	G2&G3
WGC107822D	G4
WGC107824D	G4
WGC107826D	G4
WGC107828D	G4
WGC107830D	G4
WGC107832D	G4
WGC107834D	G4
WGC107836D	G4
WGC107838D	G4
WGC107840D	G4
WGC107842D	G4
WGC107844D	G4
WGC107846D	G2&G3
WGC107848D	G2&G3
WGC107850D	G2&G3
WGC107852D	G2&G3
WGC107854D	G4
WGC107856D	G2&G3
WGC107858D	G2&G3
WGC107860D	G2&G3
WGC107862D	G4
WGC107864D	G4
WGC107866D	G4
WGC107868D	G2&G3
WGC107870D	G2&G3
WGC107872D	G2&G3
WGC107874D	G2&G3
WGC108520D	G4
WGC108522D	G4
WGC108526D	G2&G3
WGC108528D	G4
WGC108530D	G4
WGC108532D	G2&G3
WGC108536D	G2&G3
WGC108538D	G4
WGC108542D	G4
WGC108544D	G2&G3
WGC108546D	G2&G3
WGC108548D	G2&G3
WGC108550D	G2&G3
WGC108552D	G2&G3
WGC108554D	G2&G3
WGC108556D	G2&G3
WGC108558D	G2&G3
WGC108560D	G2&G3
WGC108564D	G2&G3
WGC108566D	G2&G3
WGC108568D	G4
WGC108570D	G2&G3
WGC108572D	G4
WGC108574D	G4
WGC108576D	G2&G3
WGC108578D	G4
WGC108580D	G4
WGC108582D	G2&G3
WGC108584D	G2&G3
WGC108586D	G2&G3
WGC108590D	G2&G3
WGC108592D	G4
WGC108596D	G4
WGC108600D	G2&G3
WGC108602D	G4
WGC108604D	G4
WGC108606D	G4
WGC108608D	G2&G3
WGC108614D	G2&G3
WGC108620D	G4
WGC108624D	G2&G3
WGC108815D	G4
WGC108817D	G2&G3
WGC108819D	G4
WGC108825D	G2&G3
WGC108827D	G2&G3
WGC108831D	G4
WGC108833D	G4
WGC108835D	G4
WGC108837D	G2&G3
WGC108841D	G2&G3
WGC108845D	G2&G3
WGC108847D	G4
WGC108849D	G4
WGC108851D	G2&G3
WGC108853D	G4
WGC108855D	G2&G3
WGC108857D	G2&G3
WGC108859D	G4
WGC108861D	G2&G3
WGC108863D	G2&G3
WGC108865D	G2&G3
WGC108867D	G2&G3
WGC108869D	G2&G3
WGC108871D	G2&G3
WGC108873D	G2&G3
WGC108877D	G2&G3
WGC108879D	G2&G3
WGC108881D	G2&G3
WGC108883D	G4
WGC108885D	G2&G3
WGC108889D	G2&G3
WGC108891D	G2&G3
WGC108893D	G2&G3
WGC108895D	G2&G3
WGC108897D	G2&G3
WGC108899D	G2&G3
WGC108901D	G2&G3
WGC108903D	G2&G3
WGC108905D	G2&G3
WGC108907D	G2&G3
WGC108909D	G2&G3
WGC108911	G2&G3
WGC108913	G2&G3
WGC108915	G2&G3
WGC108917	G2&G3
WGC108919	G2&G3
WGC108921	G2&G3
WGC109742	G4
WGC109744	G2&G3
WGC109746	G4
WGC109748	G4
WGC109750	G2&G3
WGC109752	G2&G3
WGC109754	G2&G3
WGC109756	G2&G3
WGC109758	G4
WGC109760	G4
WGC109762	G2&G3
WGC109764	G4
WGC109770	G4
WGC109774	G2&G3
WGC109776	G2&G3
WGC109778	G4
WGC109780	G4
WGC109782	G4
WGC109784	G2&G3
WGC109786	G4
WGC109788	G4
WGC109790	G4
WGC109792	G2&G3
WGC109794	G4
WGC109796	G4
WGC109798	G2&G3
WGC109800	G2&G3
WGC109802	G4
WGC109804	G2&G3
WGC109806	G4
WGC109808	G2&G3
WGC109810	G4
WGC109812	G2&G3
WGC109814	G4
WGC109816	G2&G3
WGC109818	G4
WGC109820	G4
WGC109824	G4
WGC109828	G4
WGC109830	G4
WGC109832	G4
WGC109840	G2&G3
WGC109842	G2&G3
WGC109844	G2&G3
WGC109846	G4
WGC109848	G4
WGC109850	G2&G3
WGC109852	G4
WGC109854	G2&G3
WGC109856	G4
WGC109858	G2&G3
WGC110899	G4
WGC110903	G2&G3
WGC110907	G4
WGC110909	G2&G3
WGC110911	G4
WGC110915	G4
WGC110917	G2&G3
WGC110919	G4
WGC110921D	G4
WGC110923D	G4
WGC110925D	G4
WGC110927D	G4
WGC110929D	G2&G3
WGC110935D	G2&G3
WGC110937D	G2&G3
WGC110939D	G2&G3
WGC110941D	G2&G3
WGC110943D	G2&G3
WGC110945D	G4
WGC110947D	G2&G3
WGC110949D	G2&G3
WGC110951D	G2&G3
WGC110953D	G2&G3
WGC110955D	G2&G3
WGC110957D	G2&G3
WGC110961D	G2&G3
WGC110963D	G2&G3
WGC110965D	G4
WGC110967D	G2&G3
WGC110969D	G2&G3
WGC110973D	G2&G3
WGC110975D	G2&G3
WGC110977D	G2&G3
WGC110979D	G4
WGC110981D	G4
WGC110983D	G2&G3
WGC110985D	G2&G3
WGC110987D	G2&G3
WGC110989D	G4
WGC110991D	G2&G3
WGC110997D	G2&G3
WGC111001D	G2&G3
WGC111003D	G2&G3
WGC111007D	G4
WGC111009D	G2&G3
WGC111011D	G2&G3
WGC111013D	G2&G3
WGC111015D	G2&G3
WGC111825D	G4
WGC111827D	G2&G3
WGC111833D	G2&G3
WGC111835D	G2&G3
WGC111839D	G4
WGC111841D	G4
WGC111843D	G4
WGC111853D	G2&G3
WGC111857D	G2&G3
WGC111859D	G2&G3
WGC111861D	G2&G3
WGC111867D	G2&G3
WGC111869D	G2&G3
WGC111871D	G2&G3
WGC111873D	G4
WGC111881D	G2&G3
WGC111883D	G2&G3
WGC111885D	G2&G3
WGC111887D	G2&G3
WGC111889D	G4
WGC111891D	G2&G3
WGC111895D	G2&G3
WGC111897D	G2&G3
WGC111899D	G2&G3
WGC111901D	G4
WGC111909D	G2&G3
WGC111911D	G4
WGC111917D	G2&G3
WGC111919D	G2&G3
WGC111921D	G2&G3
WGC111923D	G4
WGC111925D	G2&G3
WGC111927D	G2&G3
WGC111929D	G2&G3
WGC111931D	G2&G3
WGC111933D	G2&G3
WGC111935D	G4
WGC111937D	G2&G3
WGC111939D	G2&G3
WGC111941D	G2&G3
AJHG2015-1N02-VS-1T02	G2&G3
AJHG2015-1N03-VS-1T03	G4
AJHG2015-1N04-VS-1T04	G4
AJHG2015-1N05-VS-1T05	G2&G3
AJHG2015-1N22-VS-1T22	G2&G3
AJHG2015-1N23-VS-1T23	G4
AJHG2015-1N24-VS-1T24	G2&G3
AJHG2015-1N25-VS-1T25	G4
AJHG2015-1N26-VS-1T26	G2&G3
AJHG2015-1N27-VS-1T27	G2&G3
AJHG2015-1N28-VS-1T28	G2&G3
AJHG2015-1N29-VS-1T29	G2&G3
AJHG2015-1N30-VS-1T30	G2&G3
AJHG2015-1N31-VS-1T31	G4
AJHG2015-1N32-VS-1T32	G4
AJHG2015-1N34-VS-1T34	G2&G3
AJHG2015-1N35-VS-1T35	G4
AJHG2015-1N36-VS-1T36	G4
AJHG2015-1N38-VS-1T38	G4
AJHG2015-1N39-VS-1T39	G2&G3
AJHG2015-1N40-VS-1T40	G2&G3
AJHG2015-1N41-VS-1T41	G2&G3
AJHG2015-1N42-VS-1T42	G4
AJHG2015-1N45-VS-1T45	G2&G3
AJHG2015-1N46-VS-1T46	G2&G3
AJHG2015-1N47-VS-1T47	G2&G3
AJHG2015-1N48-VS-1T48	G2&G3
AJHG2015-1N49-VS-1T49	G2&G3
AJHG2015-1N50-VS-1T50	G2&G3
AJHG2015-1N51-VS-1T51	G2&G3
AJHG2015-1N52-VS-1T52	G2&G3
AJHG2015-1N54-VS-1T54	G4
AJHG2015-1N58-VS-1T58	G4
AJHG2015-1N59-VS-1T59	G2&G3
AJHG2015-1N60-VS-1T60	G2&G3
AJHG2015-1N62-VS-1T62	G4
AJHG2015-1N64-VS-1T64	G2&G3
AJHG2015-3N02-VS-3T02	G2&G3
AJHG2015-3N03-VS-3T03	G2&G3
AJHG2015-3N04-VS-3T04	G4
AJHG2015-3N06-VS-3T06	G2&G3
AJHG2015-3N08-VS-3T08	G4
AJHG2015-3N09-VS-3T09	G2&G3
AJHG2015-3N21-VS-3T21	G4
AJHG2015-3N22-VS-3T22	G4
AJHG2015-3N23-VS-3T23	G4
AJHG2015-3N26-VS-3T26	G4
AJHG2015-3N27-VS-3T27	G2&G3
AJHG2015-3N29-VS-3T29	G4
AJHG2015-3N30-VS-3T30	G4
AJHG2015-3N32-VS-3T32	G2&G3
AJHG2015-3N33-VS-3T33	G2&G3
AJHG2015-3N34-VS-3T34	G4
AJHG2015-3N35-VS-3T35	G2&G3
AJHG2015-3N38-VS-3T38	G4
AJHG2015-3N39-VS-3T39	G4
AJHG2015-3N40-VS-3T40	G4
AJHG2015-3N42-VS-3T42	G4
AJHG2015-3N43-VS-3T43	G2&G3
AJHG2015-3N44-VS-3T44	G2&G3
AJHG2015-3N45-VS-3T45	G4
AJHG2015-3N46-VS-3T46	G4
AJHG2015-3N47-VS-3T47	G4
AJHG2015-3N48-VS-3T48	G2&G3
AJHG2015-3N49-VS-3T49	G2&G3
AJHG2015-3N51-VS-3T51	G4
AJHG2015-3N53-VS-3T53	G4
AJHG2015-3N61-VS-3T61	G4
AJHG2015-3N62-VS-3T62	G4
AJHG2015-3N63-VS-3T63	G4
Gastroenterology2016-ESCC_3	G2&G3
Gastroenterology2016-ESCC_4	G4
Gastroenterology2016-ESCC_5	G2&G3
Gastroenterology2016-ESCC_8	G2&G3
Gastroenterology2016-ESCC_9	G2&G3
Gastroenterology2016-ESCC_10	G2&G3
Gastroenterology2016-ESCC_11	G2&G3
Gastroenterology2016-ESCC_12	G4
Gastroenterology2016-ESCC_13	G2&G3
Gastroenterology2016-ESCC_14	G4
Gastroenterology2016-ESCC_15	G2&G3
Gastroenterology2016-ESCC_16	G4
Gastroenterology2016-ESCC_17	G2&G3
Gastroenterology2016-ESCC_18	G2&G3
Gastroenterology2016-ESCC_21	G4
Gastroenterology2016-ESCC_24	G4
Gastroenterology2016-ESCC_26	G4
Gastroenterology2016-ESCC_27	G4
Gastroenterology2016-ESCC_28	G4
Gastroenterology2016-ESCC_29	G4
Gastroenterology2016-ESCC_36	G4
Gastroenterology2016-ESCC_37	G4
Gastroenterology2016-ESCC_42	G4
Gastroenterology2016-ESCC_45	G2&G3
Gastroenterology2016-ESCC_46	G2&G3
Gastroenterology2016-ESCC_47	G2&G3
Gastroenterology2016-ESCC_50	G4
Gastroenterology2016-ESCC_51	G4
Gastroenterology2016-ESCC_52	G2&G3
Gastroenterology2016-ESCC_53	G4
Gastroenterology2016-ESCC_54	G4
Gastroenterology2016-ESCC_55	G4
Gastroenterology2016-ESCC_56	G2&G3
Gastroenterology2016-ESCC_57	G4
Gastroenterology2016-ESCC_58	G4
Gastroenterology2016-ESCC_60	G4
Gastroenterology2016-ESCC_61	G2&G3
Gastroenterology2016-ESCC_62	G4
Gastroenterology2016-ESCC_64	G4
Gastroenterology2016-ESCC_65	G2&G3
Gastroenterology2016-ESCC_66	G2&G3
Gastroenterology2016-ESCC_68	G2&G3
Gastroenterology2016-ESCC_71	G2&G3
Gastroenterology2016-ESCC_72	G2&G3
Gastroenterology2016-ESCC_73	G2&G3
Gastroenterology2016-ESCC_74	G2&G3
Gastroenterology2016-ESCC_75	G4
Gastroenterology2016-ESCC_76	G4
Gastroenterology2016-ESCC_77	G4
Gastroenterology2016-ESCC_78	G2&G3
Gastroenterology2016-ESCC_79	G4
Gastroenterology2016-ESCC_80	G4
Gastroenterology2016-ESCC_81	G4
Gastroenterology2016-ESCC_82	G4
Gastroenterology2016-ESCC_83	G4
Gastroenterology2016-ESCC_84	G4
Gastroenterology2016-ESCC_86	G2&G3
Gastroenterology2016-ESCC_87	G4
Gastroenterology2016-ESCC_91	G4
Gastroenterology2016-ESCC_92	G2&G3
Gastroenterology2016-ESCC_94	G2&G3
Gastroenterology2016-ESCC_95	G2&G3
Gastroenterology2016-ESCC_96	G2&G3
Gastroenterology2016-ESCC_99	G2&G3
Gastroenterology2016-ESCC_100	G2&G3
Gastroenterology2016-ESCC_101	G4
Gastroenterology2016-ESCC_102	G2&G3
Gastroenterology2016-ESCC_103	G2&G3
Gastroenterology2016-ESCC_104	G2&G3
Gastroenterology2016-ESCC_108	G2&G3
Gastroenterology2016-ESCC_109	G4
Gastroenterology2016-ESCC_110	G2&G3
Gastroenterology2016-ESCC_112	G2&G3
Gastroenterology2016-ESCC_113	G4
Gastroenterology2016-ESCC_114	G4
Gastroenterology2016-ESCC_115	G4
Gastroenterology2016-ESCC_117	G2&G3
Gastroenterology2016-ESCC_118	G4
Gastroenterology2016-ESCC_120	G2&G3
Gastroenterology2016-ESCC_121	G2&G3
Gastroenterology2016-ESCC_122	G2&G3
Gastroenterology2016-ESCC_123	G4
Gastroenterology2016-ESCC_125	G2&G3
Gastroenterology2016-ESCC_126	G2&G3
Gastroenterology2016-ESCC_127	G2&G3
Gastroenterology2016-ESCC_128	G2&G3
Gastroenterology2016-ESCC_129	G2&G3
Gastroenterology2016-ESCC_130	G4
Gastroenterology2016-ESCC_131	G2&G3
Gastroenterology2016-ESCC_132	G2&G3
Gastroenterology2016-ESCC_133	G4
Gastroenterology2016-ESCC_134	G4
Gastroenterology2016-ESCC_135	G4
Gastroenterology2016-ESCC_137	G2&G3
Gastroenterology2016-ESCC_139	G2&G3
Gastroenterology2016-ESCC_140	G2&G3
Gastroenterology2016-ESCC_141	G2&G3
Gastroenterology2016-ESCC_142	G2&G3
Gastroenterology2016-ESCC_143	G2&G3
Gastroenterology2016-ESCC_146	G2&G3
Gastroenterology2016-ESCC_149	G2&G3
Gastroenterology2016-ESCC_150	G2&G3
Gastroenterology2016-ESCC_151	G2&G3
Gastroenterology2016-ESCC_153	G4
Gastroenterology2016-ESCC_154	G2&G3
Gastroenterology2016-ESCC_156	G2&G3
Gastroenterology2016-ESCC_157	G2&G3
Gastroenterology2016-ESCC_158	G2&G3
Gastroenterology2016-ESCC_159	G4
Gastroenterology2016-ESCC_160	G4
Gastroenterology2016-ESCC_161	G2&G3
Gastroenterology2016-ESCC_164	G2&G3
Gastroenterology2016-ESCC_165	G4
Gastroenterology2016-ESCC_167	G2&G3
Gastroenterology2016-ESCC_168	G4
Gastroenterology2016-ESCC_170	G4
Nature2014-ESCC-002T	G4
Nature2014-ESCC-003T	G2&G3
Nature2014-ESCC-004T	G4
Nature2014-ESCC-005T	G4
Nature2014-ESCC-006T	G2&G3
Nature2014-ESCC-008T	G2&G3
Nature2014-ESCC-012T	G4
Nature2014-ESCC-014T	G2&G3
Nature2014-ESCC-016T	G2&G3
Nature2014-ESCC-017T	G4
Nature2014-ESCC-018T	G4
Nature2014-ESCC-038T	G4
Nature2014-ESCC-055T	G2&G3
Nature2014-ESCC-057T	G4
Nature2014-ESCC-059T	G4
Nature2014-ESCC-060T	G4
Nature2014-ESCC-069T	G2&G3
Nature2014-ESCC-070T	G2&G3
Nature2014-ESCC-078T	G2&G3
Nature2014-ESCC-083T	G2&G3
Nature2014-ESCC-092T	G2&G3
Nature2014-ESCC-098T	G2&G3
Nature2014-ESCC-100T	G2&G3
Nature2014-ESCC-107T	G2&G3
Nature2014-ESCC-110T	G4
Nature2014-ESCC-112T	G4
Nature2014-ESCC-116T	G4
Nature2014-ESCC-123T	G2&G3
Nature2014-ESCC-127T	G4
Nature2014-ESCC-128T	G2&G3
Nature2014-ESCC-129T	G4
Nature2014-ESCC-133T	G2&G3
Nature2014-ESCC-134T	G4
Nature2014-ESCC-139T	G2&G3
Nature2014-ESCC-141T	G4
Nature2014-ESCC-144T	G2&G3
Nature2014-ESCC-147T	G4
Nature2014-ESCC-148T	G4
Nature2014-ESCC-152T	G4
Nature2014-ESCC-153T	G2&G3
Nature2014-ESCC-154T	G4
Nature2014-ESCC-155T	G2&G3
Nature2014-ESCC-158T	G2&G3
Nature2014-ESCC-159T	G2&G3
Nature2014-ESCC-162T	G4
Nature2014-ESCC-164T	G4
Nature2014-ESCC-171T	G2&G3
Nature2014-ESCC-175T	G4
Nature2014-ESCC-178T	G2&G3
Nature2014-ESCC-180T	G4
Nature2014-ESCC-183T	G2&G3
Nature2014-ESCC-184T	G4
Nature2014-ESCC-185T	G2&G3
Nature2014-ESCC-190T	G4
Nature2014-ESCC-193T	G2&G3
Nature2014-ESCC-204T	G4
Nature2014-ESCC-205T	G2&G3
Nature2014-ESCC-207T	G2&G3
Nature2014-ESCC-210T	G4
Nature2014-ESCC-211T	G4
Nature2014-ESCC-212T	G2&G3
Nature2014-ESCC-216T	G4
Nature2014-ESCC-219T	G4
Nature2014-ESCC-225T	G4
Nature2014-ESCC-235T	G4
Nature2014-ESCC-240T	G4
Nature2014-ESCC-246T	G4
Nature2014-ESCC-248T	G4
Nature2014-ESCC-249T	G4
Nature2014-ESCC-250T	G4
nc2017-ESCC_179	G2&G3
nc2017-ESCC_185	G4
nc2017-ESCC_245	G4
nc2017-ESCC_169	G4
nc2017-ESCC_175	G4
nc2017-ESCC_61	G4
nc2017-ESCC_23	G4
nc2017-ESCC_170	G2&G3
nc2017-ESCC_134	G4
nc2017-ESCC_161	G2&G3
nc2017-ESCC_10	G4
nc2017-ESCC_12	G4
nc2017-ESCC_168	G2&G3
nc2017-ESCC_208	G4
nc2017-ESCC_150	G2&G3
nc2017-ESCC_196	G4
nc2017-ESCC_243	G4
nc2017-ESCC_57	G4
nc2017-ESCC_213	G2&G3
nc2017-ESCC_130	G4
nc2017-ESCC_E45	G4
nc2017-ESCC_191	G2&G3
nc2017-ESCC_55	G4
nc2017-ESCC_39	G4
nc2017-ESCC_240	G4
nc2017-ESCC_239	G4
nc2017-ESCC_171	G2&G3
nc2017-ESCC_158	G4
nc2017-ESCC_143	G2&G3
nc2017-ESCC_222	G4
nc2017-ESCC_152	G4
nc2017-ESCC_142	G4
nc2017-ESCC_224	G4
nc2017-ESCC_3	G4
nc2017-ESCC_54	G4
nc2017-ESCC_62	G4
nc2017-ESCC_65	G4
nc2017-ESCC_156	G4
nc2017-ESCC_64	G2&G3
nc2017-ESCC_215	G2&G3
nc2017-ESCC_140	G4
nc2017-ESCC_26	G4
nc2017-ESCC_172	G4
nc2017-ESCC_198	G4
nc2017-ESCC_125	G2&G3
nc2017-ESCC_131	G2&G3
nc2017-ESCC_48	G4
nc2017-ESCC_42	G4
nc2017-ESCC_19	G4
nc2017-ESCC_35	G4
nc2017-ESCC_50	G4
nc2017-ESCC_234	G4
nc2017-ESCC_138	G2&G3
nc2017-ESCC_162	G4
nc2017-ESCC_173	G2&G3
nc2017-ESCC_178	G4
nc2017-ESCC_199	G4
nc2017-ESCC_225	G4
nc2017-ESCC_249	G4
nc2017-ESCC_210	G4
nc2017-ESCC_132	G2&G3
nc2017-ESCC_58	G4
nc2017-ESCC_16	G4
nc2017-ESCC_24	G4
nc2017-ESCC_182	G4
nc2017-ESCC_21	G4
nc2017-ESCC_220	G4
nc2017-ESCC_201	G2&G3
nc2017-ESCC_27	G4
nc2017-ESCC_E47	G4
nc2017-ESCC_145	G2&G3
nc2017-ESCC_E30	G4
nc2017-ESCC_223	G4
nc2017-ESCC_36	G4
nc2017-ESCC_149	G4
nc2017-ESCC_206	G4
nc2017-ESCC_246	G4
nc2017-ESCC_235	G4
